Week,Year,Team 1,Team 2,Winner/tie,Loser/tie,Pts,Pts.1
1,1970,Rams,Cardinals,Rams,Cardinals,34,13
1,1970,Bears,Giants,Bears,Giants,24,16
1,1970,Bills,Broncos,Broncos,Bills,25,10
1,1970,Raiders,Bengals,Bengals,Raiders,31,21
1,1970,Cowboys,Eagles,Cowboys,Eagles,17,7
1,1970,Dolphins,Patriots,Patriots,Dolphins,27,14
1,1970,Steelers,Oilers,Oilers,Steelers,19,7
1,1970,Saints,Falcons,Falcons,Saints,14,3
1,1970,Lions,Packers,Lions,Packers,40,0
1,1970,Colts,Chargers,Colts,Chargers,16,14
1,1970,Chiefs,Vikings,Vikings,Chiefs,27,10
1,1970,49ers,Redskins,49ers,Redskins,26,17
1,1970,Jets,Browns,Browns,Jets,31,21
2,1970,Bills,Rams,Rams,Bills,19,0
2,1970,Lions,Bengals,Lions,Bengals,38,3
2,1970,Patriots,Jets,Jets,Patriots,31,21
2,1970,Packers,Falcons,Packers,Falcons,27,24
2,1970,Eagles,Bears,Bears,Eagles,20,16
2,1970,Cardinals,Redskins,Cardinals,Redskins,27,17
2,1970,Cowboys,Giants,Cowboys,Giants,28,10
2,1970,Oilers,Dolphins,Dolphins,Oilers,20,10
2,1970,Vikings,Saints,Vikings,Saints,26,0
2,1970,49ers,Browns,49ers,Browns,34,31
2,1970,Steelers,Broncos,Broncos,Steelers,16,13
2,1970,Chargers,Raiders,Chargers,Raiders,27,27
2,1970,Chiefs,Colts,Chiefs,Colts,44,24
3,1970,Dolphins,Raiders,Dolphins,Raiders,20,13
3,1970,Steelers,Browns,Browns,Steelers,15,7
3,1970,49ers,Falcons,Falcons,49ers,21,20
3,1970,Bills,Jets,Bills,Jets,34,31
3,1970,Bengals,Oilers,Oilers,Bengals,20,13
3,1970,Colts,Patriots,Colts,Patriots,14,6
3,1970,Redskins,Eagles,Redskins,Eagles,33,21
3,1970,Cardinals,Cowboys,Cardinals,Cowboys,20,7
3,1970,Saints,Giants,Saints,Giants,14,10
3,1970,Broncos,Chiefs,Broncos,Chiefs,26,13
3,1970,Vikings,Packers,Packers,Vikings,13,10
3,1970,Rams,Chargers,Rams,Chargers,37,10
3,1970,Lions,Bears,Lions,Bears,28,14
4,1970,Jets,Dolphins,Dolphins,Jets,20,6
4,1970,Steelers,Bills,Steelers,Bills,23,10
4,1970,Browns,Bengals,Browns,Bengals,30,27
4,1970,Lions,Redskins,Redskins,Lions,31,10
4,1970,Giants,Eagles,Giants,Eagles,30,23
4,1970,Falcons,Cowboys,Cowboys,Falcons,13,0
4,1970,Vikings,Bears,Vikings,Bears,24,0
4,1970,Saints,Cardinals,Cardinals,Saints,24,17
4,1970,Colts,Oilers,Colts,Oilers,24,20
4,1970,Raiders,Broncos,Raiders,Broncos,35,23
4,1970,Patriots,Chiefs,Chiefs,Patriots,23,10
4,1970,49ers,Rams,49ers,Rams,20,6
4,1970,Chargers,Packers,Packers,Chargers,22,20
5,1970,Dolphins,Bills,Dolphins,Bills,33,14
5,1970,Browns,Lions,Lions,Browns,41,24
5,1970,Jets,Colts,Colts,Jets,29,22
5,1970,Eagles,Cardinals,Cardinals,Eagles,35,20
5,1970,Patriots,Giants,Giants,Patriots,16,0
5,1970,Chargers,Bears,Chargers,Bears,20,7
5,1970,Rams,Packers,Rams,Packers,31,21
5,1970,Oilers,Steelers,Steelers,Oilers,7,3
5,1970,Broncos,Falcons,Broncos,Falcons,24,10
5,1970,Bengals,Chiefs,Chiefs,Bengals,27,19
5,1970,Cowboys,Vikings,Vikings,Cowboys,54,13
5,1970,49ers,Saints,49ers,Saints,20,20
5,1970,Redskins,Raiders,Raiders,Redskins,34,20
6,1970,Saints,Falcons,Falcons,Saints,32,14
6,1970,Bills,Jets,Bills,Jets,10,6
6,1970,Redskins,Bengals,Redskins,Bengals,20,0
6,1970,Browns,Dolphins,Browns,Dolphins,28,0
6,1970,Giants,Cardinals,Giants,Cardinals,35,17
6,1970,Lions,Bears,Lions,Bears,16,10
6,1970,Colts,Patriots,Colts,Patriots,27,3
6,1970,Eagles,Packers,Packers,Eagles,30,17
6,1970,Cowboys,Chiefs,Cowboys,Chiefs,27,16
6,1970,Broncos,49ers,49ers,Broncos,19,14
6,1970,Chargers,Oilers,Chargers,Oilers,31,31
6,1970,Raiders,Steelers,Raiders,Steelers,31,14
6,1970,Vikings,Rams,Vikings,Rams,13,3
7,1970,Bears,Falcons,Bears,Falcons,23,14
7,1970,Patriots,Bills,Bills,Patriots,45,10
7,1970,Browns,Chargers,Chargers,Browns,27,10
7,1970,Lions,Vikings,Vikings,Lions,30,17
7,1970,Jets,Giants,Giants,Jets,22,10
7,1970,Dolphins,Colts,Colts,Dolphins,35,0
7,1970,Cardinals,Oilers,Cardinals,Oilers,44,0
7,1970,Eagles,Cowboys,Cowboys,Eagles,21,17
7,1970,Saints,Rams,Rams,Saints,30,17
7,1970,Redskins,Broncos,Redskins,Broncos,19,3
7,1970,Packers,49ers,49ers,Packers,26,10
7,1970,Raiders,Chiefs,Raiders,Chiefs,17,17
7,1970,Steelers,Bengals,Steelers,Bengals,21,10
8,1970,Bills,Bengals,Bengals,Bills,43,14
8,1970,Cowboys,Giants,Giants,Cowboys,23,20
8,1970,Dolphins,Eagles,Eagles,Dolphins,24,17
8,1970,Redskins,Vikings,Vikings,Redskins,19,10
8,1970,Steelers,Jets,Steelers,Jets,21,17
8,1970,49ers,Bears,49ers,Bears,37,16
8,1970,Cardinals,Patriots,Cardinals,Patriots,31,0
8,1970,Saints,Lions,Saints,Lions,19,17
8,1970,Chiefs,Oilers,Chiefs,Oilers,24,9
8,1970,Rams,Falcons,Rams,Falcons,10,10
8,1970,Browns,Raiders,Raiders,Browns,23,20
8,1970,Broncos,Chargers,Chargers,Broncos,24,21
8,1970,Packers,Colts,Colts,Packers,13,10
9,1970,Falcons,Eagles,Eagles,Falcons,13,13
9,1970,Bengals,Browns,Bengals,Browns,14,10
9,1970,Chiefs,Steelers,Chiefs,Steelers,31,14
9,1970,Saints,Dolphins,Dolphins,Saints,21,10
9,1970,Chargers,Patriots,Chargers,Patriots,16,14
9,1970,Redskins,Giants,Giants,Redskins,35,33
9,1970,Colts,Bills,Colts,Bills,17,17
9,1970,Bears,Packers,Packers,Bears,20,19
9,1970,Vikings,Lions,Vikings,Lions,24,20
9,1970,Oilers,49ers,49ers,Oilers,30,20
9,1970,Raiders,Broncos,Raiders,Broncos,24,19
9,1970,Rams,Jets,Jets,Rams,31,20
9,1970,Cardinals,Cowboys,Cardinals,Cowboys,38,0
10,1970,Rams,Falcons,Rams,Falcons,17,7
10,1970,Bengals,Steelers,Bengals,Steelers,34,7
10,1970,Browns,Oilers,Browns,Oilers,28,14
10,1970,Dolphins,Colts,Dolphins,Colts,34,17
10,1970,Cowboys,Redskins,Cowboys,Redskins,45,21
10,1970,Broncos,Saints,Broncos,Saints,31,6
10,1970,Lions,49ers,Lions,49ers,28,7
10,1970,Jets,Patriots,Jets,Patriots,17,3
10,1970,Bears,Bills,Bears,Bills,31,13
10,1970,Packers,Vikings,Vikings,Packers,10,3
10,1970,Chiefs,Cardinals,Chiefs,Cardinals,6,6
10,1970,Raiders,Chargers,Raiders,Chargers,20,17
10,1970,Giants,Eagles,Eagles,Giants,23,20
11,1970,Raiders,Lions,Lions,Raiders,28,14
11,1970,Packers,Cowboys,Cowboys,Packers,16,3
11,1970,Patriots,Bills,Patriots,Bills,14,10
11,1970,Saints,Bengals,Bengals,Saints,26,6
11,1970,Browns,Steelers,Steelers,Browns,28,9
11,1970,Vikings,Jets,Jets,Vikings,20,10
11,1970,Redskins,Giants,Giants,Redskins,27,24
11,1970,Bears,Colts,Colts,Bears,21,20
11,1970,Eagles,Cardinals,Cardinals,Eagles,23,14
11,1970,Broncos,Oilers,Oilers,Broncos,31,21
11,1970,Chiefs,Chargers,Chiefs,Chargers,26,14
11,1970,49ers,Rams,Rams,49ers,30,13
11,1970,Dolphins,Falcons,Dolphins,Falcons,20,7
12,1970,Bears,Vikings,Vikings,Bears,16,13
12,1970,Bills,Giants,Giants,Bills,20,6
12,1970,Lions,Cardinals,Lions,Cardinals,16,3
12,1970,Packers,Steelers,Packers,Steelers,20,12
12,1970,Dolphins,Patriots,Dolphins,Patriots,37,20
12,1970,Jets,Raiders,Raiders,Jets,14,13
12,1970,Colts,Eagles,Colts,Eagles,29,10
12,1970,Broncos,Chiefs,Chiefs,Broncos,16,0
12,1970,Falcons,49ers,49ers,Falcons,24,20
12,1970,Chargers,Bengals,Bengals,Chargers,17,14
12,1970,Redskins,Cowboys,Cowboys,Redskins,34,0
12,1970,Rams,Saints,Rams,Saints,34,16
12,1970,Oilers,Browns,Browns,Oilers,21,10
13,1970,Cowboys,Browns,Cowboys,Browns,6,2
13,1970,Chiefs,Raiders,Raiders,Chiefs,20,6
13,1970,Vikings,Patriots,Vikings,Patriots,35,14
13,1970,Steelers,Falcons,Falcons,Steelers,27,16
13,1970,Bills,Colts,Colts,Bills,20,14
13,1970,Eagles,Redskins,Redskins,Eagles,24,6
13,1970,Packers,Bears,Bears,Packers,35,17
13,1970,Bengals,Oilers,Bengals,Oilers,30,20
13,1970,Cardinals,Giants,Giants,Cardinals,34,17
13,1970,49ers,Saints,49ers,Saints,38,27
13,1970,Chargers,Broncos,Chargers,Broncos,17,17
13,1970,Dolphins,Jets,Dolphins,Jets,16,10
13,1970,Lions,Rams,Lions,Rams,28,23
14,1970,Colts,Jets,Colts,Jets,35,20
14,1970,Falcons,Vikings,Vikings,Falcons,37,7
14,1970,Dolphins,Bills,Dolphins,Bills,45,7
14,1970,Patriots,Bengals,Bengals,Patriots,45,7
14,1970,Redskins,Cardinals,Redskins,Cardinals,28,27
14,1970,Packers,Lions,Lions,Packers,20,0
14,1970,Rams,Giants,Rams,Giants,31,3
14,1970,Eagles,Steelers,Eagles,Steelers,30,20
14,1970,Saints,Bears,Bears,Saints,24,3
14,1970,Oilers,Cowboys,Cowboys,Oilers,52,10
14,1970,Browns,Broncos,Browns,Broncos,27,13
14,1970,Chiefs,Chargers,Chargers,Chiefs,31,13
14,1970,49ers,Raiders,49ers,Raiders,38,7
Division,1970,Bengals,Colts,Colts,Bengals,17,0
Division,1970,Lions,Cowboys,Cowboys,Lions,5,0
Division,1970,Vikings,49ers,49ers,Vikings,17,14
Division,1970,Dolphins,Raiders,Raiders,Dolphins,21,14
ConfChamp,1970,Raiders,Colts,Colts,Raiders,27,17
ConfChamp,1970,49ers,Cowboys,Cowboys,49ers,17,10
SuperBowl,1970,Colts,Cowboys,Colts,Cowboys,16,13
1,1971,49ers,Falcons,Falcons,49ers,20,17
1,1971,Bills,Cowboys,Cowboys,Bills,49,37
1,1971,Eagles,Bengals,Bengals,Eagles,37,14
1,1971,Oilers,Browns,Browns,Oilers,31,0
1,1971,Patriots,Raiders,Patriots,Raiders,20,6
1,1971,Bears,Steelers,Bears,Steelers,17,15
1,1971,Redskins,Cardinals,Redskins,Cardinals,24,17
1,1971,Giants,Packers,Giants,Packers,42,40
1,1971,Rams,Saints,Saints,Rams,24,20
1,1971,Colts,Jets,Colts,Jets,22,0
1,1971,Dolphins,Broncos,Dolphins,Broncos,10,10
1,1971,Chargers,Chiefs,Chargers,Chiefs,21,14
1,1971,Lions,Vikings,Vikings,Lions,16,13
2,1971,Dolphins,Bills,Dolphins,Bills,29,14
2,1971,Bengals,Steelers,Steelers,Bengals,21,10
2,1971,Cowboys,Eagles,Cowboys,Eagles,42,7
2,1971,Packers,Broncos,Packers,Broncos,34,13
2,1971,Patriots,Lions,Lions,Patriots,34,7
2,1971,Redskins,Giants,Redskins,Giants,30,3
2,1971,Vikings,Bears,Bears,Vikings,20,17
2,1971,Colts,Browns,Browns,Colts,14,13
2,1971,Chiefs,Oilers,Chiefs,Oilers,20,16
2,1971,49ers,Saints,49ers,Saints,38,20
2,1971,Falcons,Rams,Rams,Falcons,20,20
2,1971,Raiders,Chargers,Raiders,Chargers,34,0
2,1971,Jets,Cardinals,Cardinals,Jets,17,10
3,1971,Colts,Patriots,Colts,Patriots,23,3
3,1971,Jets,Dolphins,Jets,Dolphins,14,10
3,1971,Eagles,49ers,49ers,Eagles,31,3
3,1971,Steelers,Chargers,Steelers,Chargers,21,17
3,1971,Lions,Falcons,Lions,Falcons,41,38
3,1971,Vikings,Bills,Vikings,Bills,19,0
3,1971,Packers,Bengals,Packers,Bengals,20,17
3,1971,Cowboys,Redskins,Redskins,Cowboys,20,16
3,1971,Saints,Oilers,Oilers,Saints,13,13
3,1971,Rams,Bears,Rams,Bears,17,3
3,1971,Cardinals,Giants,Giants,Cardinals,21,20
3,1971,Chiefs,Broncos,Chiefs,Broncos,16,3
3,1971,Browns,Raiders,Raiders,Browns,34,20
4,1971,Cardinals,Falcons,Cardinals,Falcons,26,9
4,1971,Bills,Colts,Colts,Bills,43,0
4,1971,Bengals,Dolphins,Dolphins,Bengals,23,13
4,1971,Browns,Steelers,Browns,Steelers,27,17
4,1971,Vikings,Eagles,Vikings,Eagles,13,0
4,1971,Jets,Patriots,Patriots,Jets,20,0
4,1971,Oilers,Redskins,Redskins,Oilers,22,13
4,1971,Bears,Saints,Bears,Saints,35,14
4,1971,Packers,Lions,Lions,Packers,31,28
4,1971,Chargers,Chiefs,Chiefs,Chargers,31,10
4,1971,Raiders,Broncos,Raiders,Broncos,27,16
4,1971,Rams,49ers,Rams,49ers,20,13
4,1971,Cowboys,Giants,Cowboys,Giants,20,13
5,1971,Rams,Falcons,Rams,Falcons,24,16
5,1971,Bills,Jets,Jets,Bills,28,17
5,1971,Giants,Colts,Colts,Giants,31,7
5,1971,Redskins,Cardinals,Redskins,Cardinals,20,0
5,1971,Dolphins,Patriots,Dolphins,Patriots,41,3
5,1971,Cowboys,Saints,Saints,Cowboys,24,14
5,1971,Oilers,Lions,Lions,Oilers,31,7
5,1971,49ers,Bears,49ers,Bears,13,0
5,1971,Bengals,Browns,Browns,Bengals,27,24
5,1971,Broncos,Chargers,Broncos,Chargers,20,16
5,1971,Packers,Vikings,Vikings,Packers,24,13
5,1971,Eagles,Raiders,Raiders,Eagles,34,10
5,1971,Steelers,Chiefs,Chiefs,Steelers,38,16
6,1971,Bills,Chargers,Chargers,Bills,20,3
6,1971,Saints,Falcons,Falcons,Saints,28,6
6,1971,Broncos,Browns,Broncos,Browns,27,0
6,1971,Dolphins,Jets,Dolphins,Jets,30,14
6,1971,Eagles,Giants,Eagles,Giants,23,7
6,1971,Oilers,Steelers,Steelers,Oilers,23,16
6,1971,Lions,Bears,Bears,Lions,28,23
6,1971,49ers,Cardinals,49ers,Cardinals,26,14
6,1971,Cowboys,Patriots,Cowboys,Patriots,44,21
6,1971,Bengals,Raiders,Raiders,Bengals,31,27
6,1971,Packers,Rams,Rams,Packers,30,13
6,1971,Chiefs,Redskins,Chiefs,Redskins,27,20
6,1971,Colts,Vikings,Vikings,Colts,10,3
7,1971,Browns,Falcons,Falcons,Browns,31,14
7,1971,Cardinals,Bills,Cardinals,Bills,28,23
7,1971,Eagles,Broncos,Eagles,Broncos,17,16
7,1971,Vikings,Giants,Vikings,Giants,17,10
7,1971,Redskins,Saints,Redskins,Saints,24,14
7,1971,Bears,Cowboys,Bears,Cowboys,23,19
7,1971,Oilers,Bengals,Oilers,Bengals,10,6
7,1971,Steelers,Colts,Colts,Steelers,34,21
7,1971,Chiefs,Raiders,Raiders,Chiefs,20,20
7,1971,Dolphins,Rams,Dolphins,Rams,20,14
7,1971,49ers,Patriots,49ers,Patriots,27,10
7,1971,Jets,Chargers,Chargers,Jets,49,21
7,1971,Lions,Packers,Packers,Lions,14,14
8,1971,Falcons,Bengals,Falcons,Bengals,9,6
8,1971,Bills,Dolphins,Dolphins,Bills,34,0
8,1971,Browns,Steelers,Steelers,Browns,26,9
8,1971,Jets,Chiefs,Jets,Chiefs,13,10
8,1971,Oilers,Patriots,Patriots,Oilers,28,20
8,1971,Giants,Chargers,Giants,Chargers,35,17
8,1971,Redskins,Eagles,Redskins,Eagles,7,7
8,1971,Packers,Bears,Packers,Bears,17,14
8,1971,Cowboys,Cardinals,Cowboys,Cardinals,16,13
8,1971,Saints,Raiders,Raiders,Saints,21,21
8,1971,Vikings,49ers,49ers,Vikings,13,9
8,1971,Lions,Broncos,Lions,Broncos,24,20
8,1971,Rams,Colts,Colts,Rams,24,17
9,1971,Giants,Falcons,Giants,Falcons,21,17
9,1971,Bills,Patriots,Patriots,Bills,38,33
9,1971,Colts,Jets,Colts,Jets,14,13
9,1971,Steelers,Dolphins,Dolphins,Steelers,24,21
9,1971,Redskins,Bears,Bears,Redskins,16,15
9,1971,Eagles,Cowboys,Cowboys,Eagles,20,7
9,1971,Lions,Rams,Rams,Lions,21,13
9,1971,Packers,Vikings,Vikings,Packers,3,0
9,1971,Broncos,Bengals,Bengals,Broncos,24,10
9,1971,Browns,Chiefs,Chiefs,Browns,13,7
9,1971,Saints,49ers,Saints,49ers,26,20
9,1971,Raiders,Oilers,Raiders,Oilers,41,21
9,1971,Cardinals,Chargers,Chargers,Cardinals,20,17
10,1971,Bills,Jets,Jets,Bills,20,7
10,1971,Bengals,Oilers,Bengals,Oilers,28,13
10,1971,Patriots,Browns,Browns,Patriots,27,7
10,1971,Dolphins,Colts,Dolphins,Colts,17,14
10,1971,Redskins,Cowboys,Cowboys,Redskins,13,0
10,1971,Steelers,Giants,Steelers,Giants,17,13
10,1971,Bears,Lions,Lions,Bears,28,3
10,1971,Eagles,Cardinals,Eagles,Cardinals,37,20
10,1971,Broncos,Chiefs,Chiefs,Broncos,28,10
10,1971,Saints,Vikings,Vikings,Saints,23,10
10,1971,Chargers,Raiders,Raiders,Chargers,34,33
10,1971,Rams,49ers,Rams,49ers,17,6
10,1971,Falcons,Packers,Falcons,Packers,28,21
11,1971,Lions,Chiefs,Lions,Chiefs,32,21
11,1971,Cowboys,Rams,Cowboys,Rams,28,21
11,1971,Bills,Patriots,Bills,Patriots,27,20
11,1971,Bengals,Chargers,Bengals,Chargers,31,0
11,1971,Cardinals,Giants,Cardinals,Giants,24,7
11,1971,Steelers,Broncos,Broncos,Steelers,22,10
11,1971,49ers,Jets,49ers,Jets,24,21
11,1971,Redskins,Eagles,Redskins,Eagles,20,13
11,1971,Vikings,Falcons,Vikings,Falcons,24,7
11,1971,Packers,Saints,Saints,Packers,29,21
11,1971,Browns,Oilers,Browns,Oilers,37,24
11,1971,Colts,Raiders,Colts,Raiders,37,14
11,1971,Dolphins,Bears,Dolphins,Bears,34,3
12,1971,Jets,Cowboys,Cowboys,Jets,52,10
12,1971,Falcons,Raiders,Falcons,Raiders,24,13
12,1971,Bengals,Browns,Browns,Bengals,31,27
12,1971,Lions,Eagles,Eagles,Lions,23,20
12,1971,Patriots,Dolphins,Patriots,Dolphins,34,13
12,1971,Redskins,Giants,Redskins,Giants,23,7
12,1971,Colts,Bills,Colts,Bills,24,0
12,1971,Oilers,Steelers,Oilers,Steelers,29,3
12,1971,Broncos,Bears,Broncos,Bears,6,3
12,1971,Cardinals,Packers,Packers,Cardinals,16,16
12,1971,Vikings,Chargers,Chargers,Vikings,30,14
12,1971,Rams,Saints,Rams,Saints,45,28
12,1971,49ers,Chiefs,Chiefs,49ers,26,17
13,1971,Vikings,Lions,Vikings,Lions,29,10
13,1971,Colts,Dolphins,Colts,Dolphins,14,3
13,1971,Bills,Oilers,Oilers,Bills,20,14
13,1971,Steelers,Bengals,Steelers,Bengals,21,13
13,1971,Cardinals,Eagles,Eagles,Cardinals,19,7
13,1971,Cowboys,Giants,Cowboys,Giants,42,14
13,1971,Patriots,Jets,Jets,Patriots,13,6
13,1971,Bears,Packers,Packers,Bears,31,10
13,1971,Saints,Browns,Browns,Saints,21,17
13,1971,Falcons,49ers,49ers,Falcons,24,3
13,1971,Chargers,Broncos,Chargers,Broncos,45,17
13,1971,Chiefs,Raiders,Chiefs,Raiders,16,14
13,1971,Rams,Redskins,Redskins,Rams,38,24
14,1971,Cardinals,Cowboys,Cowboys,Cardinals,31,12
14,1971,Jets,Bengals,Jets,Bengals,35,21
14,1971,Redskins,Browns,Browns,Redskins,20,13
14,1971,Dolphins,Packers,Dolphins,Packers,27,6
14,1971,Eagles,Giants,Eagles,Giants,41,28
14,1971,Rams,Steelers,Rams,Steelers,23,14
14,1971,Falcons,Saints,Falcons,Saints,24,20
14,1971,Chiefs,Bills,Chiefs,Bills,22,9
14,1971,Vikings,Bears,Vikings,Bears,27,10
14,1971,Colts,Patriots,Patriots,Colts,21,17
14,1971,Oilers,Chargers,Oilers,Chargers,49,33
14,1971,Raiders,Broncos,Raiders,Broncos,21,13
14,1971,Lions,49ers,49ers,Lions,31,27
Division,1971,Vikings,Cowboys,Cowboys,Vikings,20,12
Division,1971,Chiefs,Dolphins,Dolphins,Chiefs,27,24
Division,1971,Colts,Browns,Colts,Browns,20,3
Division,1971,49ers,Redskins,49ers,Redskins,24,20
ConfChamp,1971,Cowboys,49ers,Cowboys,49ers,14,3
ConfChamp,1971,Dolphins,Colts,Dolphins,Colts,21,0
SuperBowl,1971,Cowboys,Dolphins,Cowboys,Dolphins,24,3
1,1972,Jets,Bills,Jets,Bills,41,24
1,1972,Patriots,Bengals,Bengals,Patriots,31,7
1,1972,Browns,Packers,Packers,Browns,26,10
1,1972,Steelers,Raiders,Steelers,Raiders,34,28
1,1972,Falcons,Bears,Falcons,Bears,37,21
1,1972,Cardinals,Colts,Cardinals,Colts,10,3
1,1972,Eagles,Cowboys,Cowboys,Eagles,28,6
1,1972,Giants,Lions,Lions,Giants,30,16
1,1972,Oilers,Broncos,Broncos,Oilers,30,17
1,1972,Dolphins,Chiefs,Dolphins,Chiefs,20,10
1,1972,Rams,Saints,Rams,Saints,34,14
1,1972,Chargers,49ers,49ers,Chargers,34,3
1,1972,Redskins,Vikings,Redskins,Vikings,24,21
2,1972,Falcons,Patriots,Patriots,Falcons,21,20
2,1972,Bills,49ers,Bills,49ers,27,20
2,1972,Steelers,Bengals,Bengals,Steelers,15,10
2,1972,Eagles,Browns,Browns,Eagles,27,17
2,1972,Cardinals,Redskins,Redskins,Cardinals,24,10
2,1972,Cowboys,Giants,Cowboys,Giants,23,14
2,1972,Dolphins,Oilers,Dolphins,Oilers,34,13
2,1972,Rams,Bears,Rams,Bears,13,13
2,1972,Jets,Colts,Jets,Colts,44,34
2,1972,Raiders,Packers,Raiders,Packers,20,14
2,1972,Chargers,Broncos,Chargers,Broncos,37,14
2,1972,Lions,Vikings,Vikings,Lions,34,10
2,1972,Chiefs,Saints,Chiefs,Saints,20,17
3,1972,Falcons,Rams,Falcons,Rams,31,3
3,1972,Bills,Colts,Colts,Bills,17,0
3,1972,Bengals,Browns,Browns,Bengals,27,6
3,1972,Redskins,Patriots,Patriots,Redskins,24,23
3,1972,Lions,Bears,Lions,Bears,38,24
3,1972,Steelers,Cardinals,Steelers,Cardinals,25,19
3,1972,Packers,Cowboys,Packers,Cowboys,16,13
3,1972,49ers,Saints,49ers,Saints,37,2
3,1972,Jets,Oilers,Oilers,Jets,26,20
3,1972,Chiefs,Broncos,Chiefs,Broncos,45,24
3,1972,Dolphins,Vikings,Dolphins,Vikings,16,14
3,1972,Raiders,Chargers,Chargers,Raiders,17,17
3,1972,Eagles,Giants,Giants,Eagles,27,12
4,1972,Lions,Falcons,Lions,Falcons,26,23
4,1972,Bills,Patriots,Bills,Patriots,38,14
4,1972,Broncos,Bengals,Bengals,Broncos,21,10
4,1972,Browns,Chiefs,Chiefs,Browns,31,7
4,1972,Jets,Dolphins,Dolphins,Jets,27,17
4,1972,Giants,Saints,Giants,Saints,45,21
4,1972,Redskins,Eagles,Redskins,Eagles,14,0
4,1972,Packers,Bears,Packers,Bears,20,17
4,1972,Colts,Chargers,Chargers,Colts,23,20
4,1972,Cardinals,Vikings,Cardinals,Vikings,19,17
4,1972,Cowboys,Steelers,Cowboys,Steelers,17,13
4,1972,Rams,49ers,Rams,49ers,31,7
4,1972,Oilers,Raiders,Raiders,Oilers,34,0
5,1972,Bears,Browns,Bears,Browns,17,0
5,1972,Dolphins,Chargers,Dolphins,Chargers,24,10
5,1972,Jets,Patriots,Jets,Patriots,41,13
5,1972,Eagles,Rams,Rams,Eagles,34,3
5,1972,Falcons,Saints,Falcons,Saints,21,14
5,1972,Redskins,Cardinals,Redskins,Cardinals,33,3
5,1972,Bills,Raiders,Raiders,Bills,28,16
5,1972,Bengals,Chiefs,Bengals,Chiefs,23,16
5,1972,Colts,Cowboys,Cowboys,Colts,21,0
5,1972,Broncos,Vikings,Vikings,Broncos,23,20
5,1972,49ers,Giants,Giants,49ers,23,17
5,1972,Steelers,Oilers,Steelers,Oilers,24,7
5,1972,Packers,Lions,Packers,Lions,24,23
6,1972,Bills,Dolphins,Dolphins,Bills,24,23
6,1972,Jets,Colts,Jets,Colts,24,20
6,1972,Cardinals,Giants,Giants,Cardinals,27,21
6,1972,Chargers,Lions,Lions,Chargers,34,20
6,1972,Steelers,Patriots,Steelers,Patriots,33,3
6,1972,Packers,Falcons,Falcons,Packers,10,9
6,1972,Browns,Oilers,Browns,Oilers,23,17
6,1972,Eagles,Chiefs,Eagles,Chiefs,21,20
6,1972,Bengals,Rams,Rams,Bengals,15,12
6,1972,Redskins,Cowboys,Redskins,Cowboys,24,20
6,1972,Broncos,Raiders,Broncos,Raiders,30,23
6,1972,Saints,49ers,49ers,Saints,20,20
6,1972,Vikings,Bears,Bears,Vikings,13,10
7,1972,49ers,Falcons,49ers,Falcons,49,14
7,1972,Bills,Steelers,Steelers,Bills,38,21
7,1972,Oilers,Bengals,Bengals,Oilers,30,7
7,1972,Jets,Patriots,Jets,Patriots,34,10
7,1972,Redskins,Giants,Redskins,Giants,23,16
7,1972,Bears,Cardinals,Bears,Cardinals,27,10
7,1972,Vikings,Packers,Vikings,Packers,27,13
7,1972,Eagles,Saints,Saints,Eagles,21,3
7,1972,Browns,Broncos,Browns,Broncos,27,20
7,1972,Colts,Dolphins,Dolphins,Colts,23,0
7,1972,Chiefs,Chargers,Chiefs,Chargers,26,14
7,1972,Raiders,Rams,Raiders,Rams,45,17
7,1972,Lions,Cowboys,Cowboys,Lions,28,24
8,1972,Bills,Dolphins,Dolphins,Bills,30,16
8,1972,Bears,Lions,Lions,Bears,14,0
8,1972,Bengals,Steelers,Steelers,Bengals,40,17
8,1972,Oilers,Browns,Browns,Oilers,20,0
8,1972,Eagles,Cardinals,Eagles,Cardinals,6,6
8,1972,Broncos,Giants,Giants,Broncos,29,17
8,1972,Redskins,Jets,Redskins,Jets,35,17
8,1972,49ers,Packers,Packers,49ers,34,24
8,1972,Saints,Vikings,Vikings,Saints,37,6
8,1972,Falcons,Rams,Rams,Falcons,20,7
8,1972,Chargers,Cowboys,Cowboys,Chargers,34,28
8,1972,Raiders,Chiefs,Chiefs,Raiders,27,14
8,1972,Colts,Patriots,Colts,Patriots,24,17
9,1972,Saints,Falcons,Falcons,Saints,36,20
9,1972,Jets,Bills,Jets,Bills,41,3
9,1972,Raiders,Bengals,Raiders,Bengals,20,14
9,1972,Steelers,Chiefs,Steelers,Chiefs,16,7
9,1972,Dolphins,Patriots,Dolphins,Patriots,52,0
9,1972,Giants,Redskins,Redskins,Giants,27,13
9,1972,Packers,Bears,Packers,Bears,23,17
9,1972,Cardinals,Cowboys,Cowboys,Cardinals,33,24
9,1972,Eagles,Oilers,Eagles,Oilers,18,17
9,1972,49ers,Colts,49ers,Colts,24,21
9,1972,Rams,Broncos,Broncos,Rams,16,10
9,1972,Vikings,Lions,Vikings,Lions,16,14
9,1972,Browns,Chargers,Browns,Chargers,21,17
10,1972,Bills,Patriots,Bills,Patriots,27,24
10,1972,Bengals,Colts,Colts,Bengals,20,19
10,1972,Browns,Steelers,Browns,Steelers,26,24
